ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,AVGDV,LLDV,MXDV,MXDV_HEIGHT,DEPTH,BASE,TOP,MAX_SHEAR,MAX_SHEAR_HEIGHT
20140701030902,-94.41370,39.01214,KEAX,X5,ETVS,14,330,29,52,52,6,18,6,24,58,6
20140701030941,-88.73614,40.65655,KILX,T3,TVS,41,42,31,56,56,3,9,3,13,22,3
20140701031012,-88.03920,41.30502,KMDW,R8,TVS,25,214,32,34,72,8,14,1,15,44,8
20140701031012,-88.01458,41.33273,KMDW,R8,TVS,23,214,33,31,82,14,26,1,27,57,14
20140701031247,-94.47181,39.44157,KMCI,??,TVS,13,105,46,78,78,1,5,1,6,99,1
20140701031349,-94.61915,41.48230,KDMX,X6,TVS,43,250,47,59,81,5,6,4,10,30,5
20140701031422,-88.65381,40.61665,KILX,T3,TVS,42,48,28,51,51,5,7,5,12,19,5
20140701031427,-94.23602,39.05925,KEAX,C6,ETVS,15,5,26,49,61,13,16,11,27,63,13
20140701031531,-88.07778,42.36953,KMKE,??,TVS,27,183,46,64,64,1,5,1,6,38,1
20140701031612,-87.88861,41.33958,KMDW,R8,TVS,20,201,30,33,70,17,22,1,23,56,17
20140701031903,-87.84933,41.26104,KMDW,W3,TVS,24,193,29,21,76,14,13,1,14,50,14
20140701031905,-90.36428,40.37069,KILX,R1,TVS,49,286,30,75,75,6,18,6,24,24,6
20140701032130,-88.04600,42.31891,KMKE,Y1,TVS,30,180,43,60,60,2,5,2,7,32,2
20140701032211,-87.80076,41.27123,KMDW,M5,TVS,23,188,39,68,68,1,12,1,13,48,1
20140701032211,-87.75703,41.41847,KMDW,M5,TVS,14,185,37,70,70,2,12,2,14,77,2
20140701032445,-93.89515,39.37906,KMCI,I1,TVS,40,100,50,88,88,2,6,2,9,35,2
20140701032503,-87.73000,41.20083,KMDW,??,TVS,27,180,44,68,68,1,7,1,8,40,1
20140701032503,-87.73000,41.23418,KMDW,??,TVS,25,180,53,92,92,1,13,1,14,60,1
20140701032503,-87.73849,41.28425,KMDW,M5,TVS,22,181,41,64,64,1,12,1,13,46,1
20140701032751,-101.90542,35.98380,KAMA,N4,TVS,46,348,39,41,70,13,9,4,13,25,13
20140701032751,-101.92267,36.04907,KAMA,N4,TVS,50,348,42,67,96,9,26,4,31,32,9
20140701033102,-87.60786,41.17630,KMDW,??,TVS,29,169,66,104,104,1,7,1,9,57,1
20140701033102,-87.62646,41.20762,KMDW,??,TVS,27,170,89,131,131,1,7,1,8,77,1
